№,Идентификатор,Тип ,Название,Район
1,502,ручей,б/н,Курортный
2,503,ручей,б/н,Курортный
3,511,ручей,б/н,Курортный
4,515,ручей,б/н,Курортный
5,523,ручей,б/н,Курортный
6,524,ручей,б/н,Курортный
7,525,ручей,б/н,Курортный
8,526,ручей,б/н,Курортный
9,528,ручей,б/н,Курортный
10,530,ручей,б/н,Курортный
11,531,ручей,б/н,Курортный
12,535,ручей,б/н,Курортный
13,536,ручей,б/н,Курортный
14,542,ручей,б/н,Курортный
15,544,ручей,б/н,Курортный
16,545,ручей,б/н,Курортный
17,549,ручей,б/н,Курортный
18,550,ручей,б/н,Курортный
19,560,ручей,б/н,Курортный
20,589,ручей,б/н,Петроградский
21,603,ручей,б/н,Фрунзенский
22,605,ручей,б/н,Петродворцовый
23,610,ручей,б/н,Петродворцовый
24,617,ручей,б/н,Петродворцовый
25,623,ручей,б/н,Колпинский
26,633,ручей,б/н,'Пушкинский, Колпинский'
27,634,ручей,б/н,Пушкинский
28,637,ручей,б/н,Колпинский
29,644,ручей,б/н,Пушкинский
30,650,ручей,б/н,Пушкинский
31,660,ручей,б/н,Колпинский
32,673,ручей,б/н,Пушкинский
33,674,ручей,б/н,Пушкинский
34,676,ручей,б/н,Пушкинский
35,677,ручей,б/н,Пушкинский
36,683,ручей,б/н,Курортный
37,684,ручей,б/н,Курортный
38,685,ручей,б/н,Курортный
39,686,ручей,б/н,Курортный
40,689,ручей,б/н,Курортный
41,690,ручей,б/н,Курортный
42,694,ручей,б/н,Курортный
43,700,ручей,б/н,Выборгский
44,702,ручей,Гнилой,Приморский
45,706,ручей,б/н,Фрунзенский
46,739,ручей,б/н,Курортный
47,741,ручей,б/н,Пушкинский
48,744,ручей,б/н,Невский
49,753,канал,Фабричная канавка,Петродворцовый
50,762,канал,б/н,Кронштадтский
51,764,канал,Обводный,Кронштадтский
52,765,канал,Петровский,Кронштадтский
53,767,канал,Сидоровский,Петродворцовый
54,1001,ручей,Дудергофский,Красносельский
55,1002,ручей,б/н,Красносельский
56,1017,ручей,б/н,Красносельский
57,1018,река,Сосновка,Красносельский
58,1019,река,Ивановка,Красносельский
59,1022,река,Дудергофка,"Красносельский, Кировский"
60,1023,канал,Дудергофский,Красносельский
61,1024,канал,Матисов,Красносельский
62,1029,ручей,б/н,Красносельский
63,1037,ручей,б/н,Красносельский
64,1038,река,Красненькая,"Красносельский, Кировский"
65,1043,ручей,б/н,Красносельский
66,1049,река,Кристателька,Петродворцовый
67,1051,ручей,б/н,Петродворцовый
68,1052,ручей,б/н,Петродворцовый
69,1053,ручей,б/н,Петродворцовый
70,1054,ручей,б/н,Петродворцовый
71,1059,ручей,б/н,Петродворцовый
72,1060,ручей,б/н,Петродворцовый
73,1061,ручей,б/н,Петродворцовый
74,1063,ручей,б/н,Петродворцовый
75,1066,ручей,б/н,Петродворцовый
76,1067,ручей,б/н,Петродворцовый
77,1068,ручей,б/н,Петродворцовый
78,1069,ручей,б/н,Петродворцовый
79,1070,ручей,б/н,Петродворцовый
80,1077,ручей,б/н,Петродворцовый
81,1081,канал,Полевой,Петродворцовый
82,1082,ручей,б/н,Петродворцовый
83,1089,ручей,б/н,Петродворцовый
84,1090,ручей,б/н,Петродворцовый
85,1091,ручей,б/н,Петродворцовый
86,1093,ручей,б/н,Петродворцовый
87,1094,ручей,б/н,Петродворцовый
88,1096,ручей,б/н,Петродворцовый
89,1097,ручей,б/н,Петродворцовый
90,1098,ручей,б/н,Петродворцовый
91,1100,ручей,б/н,Петродворцовый
92,1101,ручей,Мартышкин,Петродворцовый
93,1109,ручей,б/н,Красногвардейский
94,1111,ручей,б/н,Красногвардейский
95,1133,ручей,б/н,"Калининский, Красногвардейский"
96,1134,ручей,б/н,Красногвардейский
97,1139,ручей,б/н,"Калининский, Красногвардейский"
98,1142,ручей,б/н,Красногвардейский
99,1143,ручей,б/н,Красногвардейский
100,1152,ручей,Безымянный,Красногвардейский
101,1160,ручей,Южный Парголовский,Выборгский
102,1161,ручей,б/н,Красногвардейский
103,1162,ручей,Зыбин,Красногвардейский
104,1174,канал,Нагорный,"Красносельский, Московский"
105,1183,ручей,б/н,Выборгский
106,1190,ручей,б/н,Выборгский
107,1191,ручей,б/н,Выборгский
108,1192,ручей,б/н,Выборгский
109,1193,ручей,б/н,Выборгский
110,1195,ручей,б/н,Выборгский
111,1196,ручей,проток С. Суздальское Н. Суздальское,Выборгский
112,1197,ручей,проток В. Суздальское - С. Суздальское,Выборгский
113,1198,река,Черная (Парголово),"Курортный, Приморский, Выборгский"
114,1201,ручей,б/н,Выборгский
115,1203,ручей,б/н,Выборгский
116,1206,ручей,б/н,Выборгский
117,1211,канал,Левашовский,Выборгский
118,1218,ручей,б/н,Выборгский
119,1233,ручей,9-й ручей,Курортный
120,1234,ручей,Быстрый,Курортный
121,1235,ручей,3-й ручей Зеленогорск,Курортный
122,1236,ручей,б/н,Курортный
123,1237,ручей,4-й ручей Солнечное,Курортный
124,1238,ручей,Горский,"Курортный, Приморский"
125,1239,ручей,Ржавый,"Приморский, Выборгский"
126,1247,река,Черная речка (Молодежное),Курортный
127,1249,ручей,б/н,Курортный
128,1254,ручей,проток Черная - Каменка,Приморский
129,1255,река,Глухарка,Приморский
130,1256,река,Юнтоловка,Приморский
131,1257,река,Черная Речка (Приморский р-н),Приморский
132,1258,канал,Восточный канал Юнтоловской дачи,Приморский
133,1261,канал,Нахимсона,Петродворцовый
134,1265,река,Чухонка,Петроградский
135,1273,ручей,б/н,Курортный
136,1275,ручей,8-й ручей Зеленогорск,Курортный
137,1276,ручей,Жемчужный,Курортный
138,1277,ручей,6-й ручей Зеленогорск,Курортный
139,1280,ручей,Ржавая Канава,Курортный
140,1281,река,Каменка,"Приморский, Выборгский"
141,1282,ручей,Хайзовый,Курортный
142,1283,река,Черная (Лисий Нос),"Курортный, Приморский"
143,1286,ручей,б/н,Курортный
144,1288,ручей,б/н,Курортный
145,1289,ручей,"5-й ручей (приток 6-го, Зеленогорск)",Курортный
146,1290,ручей,б/н,Курортный
147,1291,ручей,б/н,Курортный
148,1292,ручей,б/н,Курортный
